timestamp,arbitration_id,extended,remote,error,dlc,data
1753812802.458859,0x18e,0,0,0,3,CAA2
1753812802.4594424,0x191,0,0,0,8,AQAAoUCAfy0=
1753812802.4594593,0x1a6,0,0,0,8,BAAgUk+AAJY=
1753812802.4596746,0x21e,0,0,0,7,AABHUiRsOg==
1753812802.4597058,0x221,0,0,0,3,R/2x
1753812802.460229,0x294,0,0,0,8,BBYABwJEADo=
1753812802.460256,0x295,0,0,0,4,AAAANQ==
1753812802.463646,0x156,0,0,0,6,ACsAAAcI
1753812802.4638357,0x39,0,0,0,3,AAA5
1753812802.46385,0x1eb,0,0,0,2,ADs=
1753812802.4645355,0x91,0,0,0,8,gAAIFgUAABE=
1753812802.465077,0x19b,0,0,0,5,AAAAABI=
1753812802.4651084,0x1a4,0,0,0,8,AGYQAAAAAAw=
1753812802.4651115,0x183,0,0,0,8,AAAAJgAAACI=
1753812802.4652328,0x1a8,0,0,0,4,AAAABQ==
1753812802.4656734,0x1aa,0,0,0,8,f/8AAAAAZgM=
1753812802.465699,0x1b0,0,0,0,7,AAAAAAABRw==
1753812802.4660528,0x1d0,0,0,0,8,AAAAAAAAAAo=
1753812802.466275,0x1ea,0,0,0,8,AAAAAAAAAA8=
1753812802.4680488,0x133,0,0,0,5,AAAAAAE=
1753812802.4680772,0x13c,0,0,0,8,AAwANwAABA4=
1753812802.468259,0x158,0,0,0,8,AAAAAAAAAAo=
1753812802.468502,0x161,0,0,0,8,BXgFeCAIAA4=
1753812802.4688356,0x17c,0,0,0,8,AAAC7gAAAAY=
1753812802.4688506,0x18e,0,0,0,3,CAAJ
1753812802.4691048,0x191,0,0,0,8,AQAAoUCAfzw=
1753812802.469823,0x1cf,0,0,0,8,gAUAAAAEAAs=
1753812802.46985,0x1dc,0,0,0,4,AgLuDg==
1753812802.4698527,0x1ed,0,0,0,3,Af8N
1753812802.47334,0x156,0,0,0,6,ACsAAAcX
1753812802.473492,0x1e2,0,0,0,4,EFXwOg==
